country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,,
Albania,,,,,,,,,,,,,,,,,,15.6,12.7,16.2,14.1,15.6,15.8,14.9,17.8,19.3,17.1,13.7,15.1,14.9
Algeria,,,,,,,,,,,,,,,22.8,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,15.9,,,,,6.12,,12.6,,,,,,,,
Argentina,,,,,,,,,,,,,13.8,11.7,5.73,5.02,3.77,,3.83,4.05,3.05,2.92,2.99,3.24,3.25,,,3.27,3.64,3.87
Armenia,,,,,,,,,,,,,,,,,,26.1,18.8,18.7,20,20,18.6,16.8,17.5,17.5,16.8,17.8,21,
Australia,,,,,,2.44,,4.08,3.63,,3.65,3.36,3.46,3.6,3.25,3.02,2.31,2.37,2.47,3.65,3.02,3.16,3.03,3.42,,,,,,
Austria,,,,,1.84,,,,2.33,2.16,2.24,1.89,1.76,2.38,3.28,3.01,2.88,2.71,1.87,2.6,2.53,2.6,2.38,3.44,3.95,3.87,3.58,3.15,3.22,3
Azerbaijan,,,,,,,,,,,,,,,,,,4.37,3.66,6.89,7.4,6.51,5.79,,,,,,,
Bahamas,,,,,7.24,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,2.5,2.46,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,5.63,,,,3.89,,,7,,,9.03,10.7,,
Barbados,,,,,,,,2.72,,,,,,5.22,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,3.68,,,
Belgium,,,,,,,,,3.87,3.73,2.66,3.12,3.48,3.81,3.66,4.41,4.5,3.76,3.63,4.48,4.45,3.79,3.94,4.91,4.67,4.59,4.2,4.28,3.45,3.15
Belize,,,,,,,,,,,,,,,,5.22,,,,,,,9.69,5.83,6.37,5.35,5.4,3.9,,
Benin,,,,,,,,,,,,,,,,,,,,,,12.1,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,6.12,18.3,,,,,,
Bolivia,,,,,,,9.02,6.79,,,11.4,,,,,7.65,6.19,8.02,4.61,6.3,,2.9,4.01,4.39,3.21,3.69,6.21,6.42,5.99,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,9.68,9.79,9.86,15.5,14.6,19.1,16.9,21.1,20.5,21.4,16.7,15.4,13.3
Botswana,,,,,,,,,,,,,,,,,13.2,,,4.37,6.9,,,,,,,,,
Brazil,,,,,,2.4,2.98,3.35,3.62,4.23,,3.69,3.54,4.06,3.62,3.95,3.7,3.83,3.85,3.91,,3.52,1.08,1.38,1.25,5.07,6.33,7.02,6.86,6.82
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,4.58,,,7.48,8.76,6.19
Bulgaria,,,,,,,,,,,6.7,8.84,8.23,6.78,5.79,4.31,3.97,2.43,2.29,2.9,4.56,5.12,5.83,6.43,5.1,3.95,3.37,3.03,2.31,1.91
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,,,11.1,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,14.8,,,,,
