country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,,
Albania,,,,,,,,,,,,,,,,,,14.2,11.4,11.6,12.7,12.3,11.8,14.1,15.1,13.5,12.9,12.2,6.36,5.82
Algeria,,,,,,,,,,,,,,,23.6,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,31.4,,,,,6.7,,14.5,,,,,,,,
Argentina,,,,,,,,,,,,,22,17.3,14.8,13.1,11.4,,9.37,10.3,8.97,8.35,8.2,8.17,8.56,,,10.5,11.1,12.3
Armenia,,,,,,,,,,,,,,,,,,24.3,31.1,13.3,13.7,15.7,14.2,14.7,9.64,15.2,14.6,17.4,20.6,
Australia,,,,,,12.7,,12.7,11.4,,10.3,10.7,9.96,9.58,8.68,8.77,7.99,9.24,9.56,9.23,9.07,8.61,9.24,8.63,,,,,,
Austria,,,,,5.4,,,,9.26,7.45,8.05,6.94,8,8.73,11.4,11,10,9.26,8.28,10.6,9.16,8.97,9.7,10.3,11.3,11,12.6,12.9,11.3,10.6
Azerbaijan,,,,,,,,,,,,,,,,,,12.2,21,8.13,9.09,11.2,9.54,,,,,,,
Bahamas,,,,,5.87,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,1.53,1.5,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,3.09,,,,3.11,,,3.82,,,3.23,3.45,,
Barbados,,,,,,,,3.37,,,,,,1.93,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,,,
Belgium,,,,,,,,,14.6,13.6,10.3,10.8,11.2,11.6,12,12.9,12.8,11.8,11.6,12.8,13.9,13.2,13.2,15.1,15.3,16,15.4,13.8,12.4,11.7
Belize,,,,,,,,,,,,,,,,13.7,,,,,,,16,8.74,8.56,7.76,6.66,6.55,,
Benin,,,,,,,,,,,,,,,,,,,,,,2.46,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,5.73,3.59,,3.71,2.33,,,,,,
Bolivia,,,,,,,5.88,1.52,,,3.57,,,,,4.87,4.17,3.53,2.44,2.69,,2.16,1.61,2.74,1.76,2.91,2.76,2.82,2.49,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,37.1,37.8,28.4,31.1,31,30.9,27.8,29.4,30.5,28.9,26.3,19.7,20.1,15
Botswana,,,,,,,,,,,,,,,,,19.5,,,21.1,21,,,,,,,,,
Brazil,,,,,,8.1,9.03,10.1,11.6,12.3,,11.7,11.1,11.7,10.6,11.2,9.94,9.39,8.17,9.63,,7.98,6.96,6.81,6.56,8.72,13.6,15.3,14.6,14.4
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,8.45,,,10.4,8.95,8.89
Bulgaria,,,,,,,,,,,25,33.1,29.6,23.9,20.1,18.8,19.4,16.7,13.7,14.8,21.7,25.4,27,28.9,27.6,24.2,21.5,17.5,15,12.8
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,6.02,,,,6.45,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,3.17,,,,,
Cambodia,,,,,,,,,,,3.22,2.37,,,,,,0.94,1.08,0.594,0.868,0.316,1.45,0.462,0.482,0.474,0.574,0.219,,
Cameroon,,,,,,,,,,,,,,,,,,4.21,,,,,,,2.58,,,,,
Canada,12.2,15.4,17.5,17.1,16.3,15.1,15.6,15.8,14.6,13.7,12.5,12.9,14,13.7,13.5,12.5,12.3,12,11.9,15.9,16.1,15.4,15.1,14.7,14.1,14.3,14.1,12.9,11.9,11.6
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,33,,9.71,9.25,
Chile,,,,,,,,,11,,11.9,,,10.1,,,4.1,5.01,,10.9,8.67,7.01,6.4,6.13,6.53,6.42,6.21,6.31,6.89,6.45
Colombia,,,,,,,,,,,,,,,,,,,,10.4,9.15,8.05,7.91,7.06,6.68,6.36,6.36,6.5,6.66,7.79
Comoros,,,,,,,,,,,,,,,5.23,,,,,,,,,,9.3,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,3.61,,,,,,,2.07,,,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,23.5,,,,,,,,,,,,,,
Costa Rica,,,,,,,6.86,6.17,8.15,7.16,6.1,7.18,7.51,7.88,7.02,7.29,6.72,5.29,6.01,,9.1,11.7,10.8,10.1,10.2,9.49,9.78,8.89,10.2,12.6
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,7.51,5.41,,,4.29,2.24,,
Croatia,,,,,,,,,,,,,14,14.4,13.7,11.3,12.2,12.1,9.82,9.84,12.7,17.1,18.1,21,25.3,21.4,17.2,19.6,11.3,9.09
Cuba,,,,,,,,,,,,,,,,,2.58,2.31,2.24,2.3,2.97,,,,,,,,,
Cyprus,,,,,,,,,,,6.21,5,3.85,5.19,6.14,6.21,4.91,4.87,4.84,6.1,7.07,7.43,13.6,19.5,19.6,18.6,15.5,13.7,9.57,7.54
Czech Republic,,,,,,,11.2,13.5,15.1,20.7,22.6,21.4,20.1,21.7,25.9,26.7,24.5,20.1,19,24.1,25,24.2,28.5,25.7,22.1,22.7,20.5,13,10.6,10.7
Denmark,,,,,,,,,7.46,7.74,6.23,6.13,6.92,8.51,7.15,7.22,6.45,5.62,6.08,10,12,12.4,12.6,12.2,11.4,10.4,9.18,9.67,8.61,8.4
Dominican Republic,,,,,,,,,,,7.5,8.31,7.73,7.75,6.57,7.13,5.97,5.76,4.72,5.84,5.9,6.45,7.5,7.68,6.12,7.16,7.2,5.37,5.72,5.7
Ecuador,,,,,,,,,,,3.09,3.2,3.97,5.7,5.17,3.73,3.37,2.35,3.07,3.67,3.18,2.43,2.12,2.07,2.33,2.45,3.01,2.33,2.02,2.08
Egypt,,,,,,,,,,,,,,,,,,,2.98,3.86,2.94,8.62,9.89,9.89,11.5,8.97,8.54,6.84,4.11,
El Salvador,,,,,,,10.3,,,,,,,,,,,,,,4.58,3.91,3.54,3.48,3.81,3.89,3.41,3.69,3.75,
Estonia,,,,,,11.3,,,16,20.3,25.4,20.1,23.2,20.8,19.3,14.5,12.7,10.9,12,27.8,30,25.5,22.9,14.6,12.8,12.2,12.7,10.8,10.3,9.81
Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4,,,
Ethiopia,,,,,,,,,,6.67,,,,,,3.97,,,,,,,,3.2,,,,,,
Fiji,,,,,,,,,,,,,,,,3.36,,,,,,2.84,,,,,2.58,,,
Finland,,,,,,,,,19,19,18.7,17.5,18.8,18.3,19.4,14.3,13.9,12.6,12.5,14.8,16.1,16.1,16,17.1,17.2,17.6,16.7,17.9,15.9,16
France,,,,,,,,,16.4,17,15.3,12.9,12.7,11.5,12.2,12.2,12.4,11.6,11,13.5,14.4,14.3,15.2,16.3,17.3,17.5,17.8,16.9,15.9,15.6
Gambia,,,,,,,,,,,,,,,,,,,,,,,11.9,,,,,,11.5,
