country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,,
Albania,,,,,,,,,,,,,,,,,,18.2,15.6,15.6,15.8,14.6,14.8,18.8,21.8,20.5,17.7,15.3,10.3,8.93
Algeria,,,,,,,,,,,,,,,22.4,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,17.8,,,,,9.15,,15.8,,,,,,,,
Argentina,,,,,,,,,,,,,21.2,17.9,15.5,12.8,11.9,,8.34,9.28,9.04,8.28,8.53,8.25,8.32,,,9.13,10.7,11.2
Armenia,,,,,,,,,,,,,,,,,,29.8,23.6,19,19.3,18.2,17.2,16.1,18,18.8,18.2,17.7,19.9,
Australia,,,,,,18.7,,8.49,7.24,,6.42,6.19,5.69,5.44,5.09,4.32,5.11,3.79,3.81,5.78,5.16,4.86,5.21,5.88,,,,,,
Austria,,,,,2.98,,,,4.72,4.35,4.16,3.61,4.74,4.23,5.02,4.86,4.5,4.09,3.56,4.63,4.36,3.98,4.41,4.73,5.03,5.44,5.77,5.05,4.24,3.94
Azerbaijan,,,,,,,,,,,,,,,,,,6.97,6.25,5.04,4.55,4.33,4.45,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,1.58,1.54,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,6.79,,,,6.56,,,6.98,,,9.71,8.48,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,8.16,,,
Belgium,,,,,,,,,9.06,8.31,6.78,5.02,6.54,7.99,7.38,8.51,8.11,7.59,6.94,8.07,8.13,6.77,7.75,8.21,8.79,8.7,8.04,7.11,5.95,5.3
Belize,,,,,,,,,,,,,,,,11.7,,,,,,,13.7,10.7,9.8,9.77,9.39,9.6,,
Benin,,,,,,,,,,,,,,,,,,,,,,6.05,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,13,8.81,,7.27,7.29,,,,,,
Bolivia,,,,,,,,,,,,,,,,8.17,8.81,10.4,4.49,3.77,,3.63,2.98,2.87,3.07,4.49,4.85,5.01,5.03,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,26,30,24.5,25,28.6,29.1,29.7,29.2,28.1,29.2,26.2,21.7,18.9,16.4
Botswana,,,,,,,,,,,,,,,,,,,,10.6,24.9,,,,,,,,,
Brazil,,,,,,6.19,6.72,8.18,9.38,10.8,,10.1,10.7,11.1,10.5,10.8,9.93,9.87,8.73,9.97,,7.91,4.15,4.26,4.01,7.36,13.5,14.6,14.1,13.7
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,7.59,,,9.86,8.71,6.87
Bulgaria,,,,,,,,,,,15.8,19.4,17.7,12.5,11.3,9.22,7.69,5.76,4.51,6.16,9.69,10.5,11.7,12.3,10.6,8.33,6.72,5.26,4.51,3.39
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,7.87,,,,8.71,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,25.7,,,,,
Cambodia,,,,,,,,,,,3.1,3.39,,,,,,1.56,1.77,0.671,1.56,1.16,1.36,,0.517,0.975,1.26,,,
Cameroon,,,,,,,,,,,,,,,,,,8.21,,,,,,,7.45,,,,,
Canada,7.76,10.2,10.9,11.6,10.2,9.6,9.76,9.17,8.58,7.78,7.01,7.22,7.83,7.74,7.44,7.13,6.53,6.36,6.57,9.41,9.06,8.47,8.22,8.24,8.07,8.33,8.29,7.44,6.96,7.16
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,38.2,,15.8,16.5,
Chile,,,,,,,,,9.62,,10.5,,,10.8,,,7.13,8.51,,12.1,9.47,8.43,7.58,7.01,7.45,7.34,7.64,7.6,7.84,8.16
Colombia,,,,,,,,,,,,,,,,,,,,15.6,13.9,13,12,11.3,10.4,9.83,9.99,10.7,10.7,11.6
Comoros,,,,,,,,,,,,,,,10.6,,,,,,,,,,9.07,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,6.53,,,,,,,6.67,,,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,23.4,,,,,,,,,,,,,,
Costa Rica,,,,,,,6.14,5.66,2.98,4.94,4.72,5.87,6.72,5.63,8.37,7.66,6.82,5.25,4.82,,6.25,10.3,10.3,9.48,10.2,11.2,9.17,9.72,12.7,14.1
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,17.9,12.2,,,5.74,6.4,,
Croatia,,,,,,,,,,,,,17.1,15.8,15.4,14.9,12.3,10.1,9.17,9.95,12.4,14.2,17.3,18.6,18.7,18,14.6,11.7,9.13,6.91
Cuba,,,,,,,,,,,,,,,,,1.86,1.87,1.52,1.61,2.55,,,,,,,,,
Cyprus,,,,,,,,,,,5.41,3.99,3.64,3.9,3.77,5.49,4.54,3.9,3.63,5.7,6.41,8.81,12.7,17.2,18.2,16.5,14.3,11.4,8.82,8.01
Czech Republic,,,,,,,3.13,4,5.2,7.68,7.8,7.06,6.37,6.93,7.45,7.2,6.41,4.67,3.65,6.09,6.92,6.4,6.48,6.84,6.02,4.7,3.5,2.69,2.06,1.75
Denmark,,,,,,,,,4.74,4.91,4.39,3.88,3.65,4.41,5.06,4.47,3.14,3,2.96,5.91,7.07,6.79,6.91,6.55,6.13,5.38,5.13,4.68,4.08,4.12
Dominican Republic,,,,,,,,,,,9.15,10.2,9.65,10.5,9.64,10.2,8.62,7.53,8.56,8.58,7.43,8.98,9.82,11.3,10.1,11.5,11,8.91,8.84,9.39
